,title,summary
0,Scoring i sidste sekund giver GOG dramatisk håndboldsejr,"[<p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Der var dramatik og spænding til det sidste i torsdagens Champions League-opgør mellem håndboldherrerne fra GOG og Magdeburg.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Efter en underholdende og tætspillet kamp scorede Emil Madsen nemlig i absolut sidste sekund til 33-32, og det sendte sejren til det fynske håndboldhold.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">GOG's sejr betyder, at de nu er oppe på siden af Magdeburg i Champions Leagues gruppe A.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Begge hold har syv point efter seks kampe på tredje- og fjerdepladsen. Gruppen føres af ungarske Vezprem, mens franske PSG ligger nummer to med tre point ned til GOG og Magdeburg.</p>]"
1,"Tobias Rahim bliver årets store vinder til Danish Music Awards, der også bød på priser til Jada og The Minds of 99","[<p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Tobias Rahim sikrede sig tre priser ved aftenens uddeling af Danish Music Awards.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Det var for 'Årets danske solist', 'Årets danske streaminghit' (for 'Mucki Bar'), mens hans producer Arto Louis Eriksen tog statuetten for 'Årets danske producer' med hjem.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">The Minds of 99 tog prisen som 'Årets danske gruppe', Jada modtog 'Årets danske livenavn', Andreas Odbjerg fik 'Årets danske radiohit' (for 'Hjem fra fabrikken') og MØ vandt 'Årets danske sangskriver'.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Også rapperne Lamin og Gili vandt priser for henholdsvis 'Årets nye navne navn' og 'Årets danske album' (for 'Carnival'), mens Sivas modtog årets ærespris.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Priserne blev uddelt Moltkes Palæ i København med Sara Bro som vært.</p>]"
2,Russer sender Clara Tauson ud af fransk tennisturnering,"[<p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Det blev ikke til nogen semifinaleplads for Clara Tauson i denne omgang.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Torsdag aften tabte den unge danske tennisspiller nemlig 6-7, 6-3, 2-6 mod russiske Kamilla Rakhimova i <span style=""display:inline""><span class=""dre-glossary-match"">kvartfinalen</span></span> af ITF-turneringen Engie Open Nantes Atlantique.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Dermed er hun ude af den franske turnering.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">2022 har ikke været Clara Tausons år.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Hun har blandt andet døjet med en rygskade og har derfor været tvunget til at melde afbud til flere turneringer.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Det har da også resulteret i, at hun er røget ned som nummer 135 på <span style=""display:inline""><span class=""dre-glossary-match"">verdensranglisten</span></span> efter at have været nummer 44 ved nytår.</p>]"
3,'Orkestret' bliver den store vinder ved prisuddeling,"[<p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Den danske seriebranche er blevet hædret ved <span style=""display:inline""><span class=""dre-glossary-match"">Nordens</span></span> største seriepris - Series Awards - her til aften.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Der var særligt prisregn over DR-serien'Orkestret' med Frederik Cilius og Rasmus Bruun i hovedrollerne.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Dramaserien, der er instrueret af Mikkel Munch-Fals, vandt i kategorierne 'Bedste Komedie', 'Bedste Instruktion' og 'Bedste Skuespilpræstation'. Det var bestemt af en jury bestående af Ann Lind Andersen, Keld Reinicke, Pernille Bech Christensen, Rasmus Thorsen og Kim Leona.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">'Orkestret' har <span style=""display:inline""><span class=""dre-glossary-match"">tilsyneladende</span></span> også ramt publikums hjerter, for også publikumsprisen, Aarhus Seriepris, kommer med holdet bag 'Orkestret' hjem.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Juryen havde dog også rigeligt med <span style=""display:inline""><span class=""dre-glossary-match"">hæder</span></span> at dele ud af til andre.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">'Badehotellet' blev hædret med prisen for 'Bedste Fortløbende Serie', mens 'Borgen - Riget, Magten og Æren' vandt 'Bedste Manuskript'.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Årets 'Bedste Serie' gik til instruktør Jonas Risvigs Viaplay-serie 'Drenge'.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">'Talentprisen' gik til 26-årige Marie Reuther for sin hovedrolle i Danmarks første HBO-serie 'Kamikaze' blandt andet med begrundelsen, at ""man sidder målløs tilbage efter en tour de force af en præstation"".</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Series Awards er arrangeret af mediefestivalen THIS, publikumsfestivalen Aarhus Series og Filmby Aarhus.</p>]"
4,Danskere sørger for vigtige scoringer i fodboldeuropa,"[<p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Flere danskere fik en hovedrolle i torsdagens tidlige europæiske fodboldkampe.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Danske Jens Odgaard var således på pletten for sin hollandske klub AZ Aklmaar, der vandt 2-1 mod ukrainske Dnipro i Conference League, mens midtbanespilleren Andrew Hjulsager også scorede i samme turnering.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Midtbanespilleren scorede til 1-0 for sin belgiske klub, Gent, der slog norske Molde med 4-0.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">I Europa Leage var Christian Eriksen med fra start for Manchester United, der slog spanske Real Sociedad med 1-0.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Den danske landsholdsspiller blev skiftet ud efter 83 minutter.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Også FC Midtjylland vandt 2-0 i deres Europa League-opgør torsdag aften, og det kan du læse om <a href=""https://www.dr.dk/sporten/fodbold/europaleague/fcm-sniger-sig-videre-og-kan-moede-europaeiske-mastodonter-til-foraaret"" rel=""noopener noreferrer"" target=""_blank"">her</a>.</p>]"
5,Iranere går på gaden for at markere demonstrants død: Meldinger om skud,"[<p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Iranske sikkerhedsstyrker har skudt mod folk, som er på gaden for at markere afslutningen på 40 dages sørgetid for Hadis Najafi, der døde under en demonstration.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables""><a href=""http://www.bbc.com/news/world-middle-east-63498820"" rel=""noopener noreferrer"" target=""_blank"">Det skriver BBC med henvisning til flere vidner</a>.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Videoer på sociale <span style=""display:inline""><span class=""dre-glossary-match"">medier</span></span> har i dag vist tusindvis gå langs <span style=""display:inline""><span class=""dre-glossary-match"">motorveje</span></span> for at nå ned til byen Karaj til kvindens grav. Hun er blevet endnu et symbol på kampen mod styret i Iran.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables""><i>Videoen nedenfor viser en mindre del af demonstranterne:</i></p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Iranske statsmedier skriver, at demonstranter har såret betjente og dræbt en militssoldat, men vidner fortæller en anden historie til <span style=""display:inline""><span class=""dre-glossary-match"">BBC</span></span>. De fortæller, at de iranske styrker angreb demonstranter med skud, <span style=""display:inline""><span class=""dre-glossary-match"">tåregas</span></span> og <span style=""display:inline""><span class=""dre-glossary-match"">macheter</span></span>.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">22-årige Hadis Najafis døde den 21. september. Her havde hun optaget en video til det sociale medie TikTok, før hun gik til demonstration mod styret. Hendes familie siger, at hun blev skudt og dræbt af sikkerhedsstyrker. <span style=""display:inline""><span class=""dre-glossary-match"">Embedsmænd</span></span> bad <span style=""display:inline""><span class=""dre-glossary-match"">angiveligt</span></span> hendes far om at sige, at hun døde af et hjerteanfald, skriver <span style=""display:inline""><span class=""dre-glossary-match"">BBC</span></span>.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Dagens <span style=""display:inline""><span class=""dre-glossary-match"">meldinger</span></span> om skud mod demonstranter er ikke enestående. <a href=""http://www.dr.dk/nyheder/udland/brutal-video-peger-paa-ekstrem-vold-mod-iranske-demonstranter"" rel=""noopener noreferrer"" target=""_blank"">Blandt andet Amnesty International peger på voldsomme overgreb begået af de iranske sikkerhedsstyrker</a>.</p>]"
6,"Stoltenberg mener, Sverige og Finland har gjort sig fortjent til Nato - Tyrkiet tøver fortsat","[<p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Det er på tide at give Finland og Sverige fuldt medlemskab af <span style=""display:inline""><span class=""dre-glossary-match"">Nato</span></span>.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Det mener <span style=""display:inline""><span class=""dre-glossary-match"">Natos</span></span> generalsekretær, Jens Stoltenberg, ifølge Reuters.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">- I disse farlige tider er det endnu vigtigere at gøre deres tiltrædelse endelig for at forhindre enhver misforståelse eller fejlberegning i <span style=""display:inline""><span class=""dre-glossary-match"">Moskva</span></span>, sagde han på et <span style=""display:inline""><span class=""dre-glossary-match"">pressemøde</span></span> med Tyrkiets udenrigsminister i dag.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Men Tyrkiets udenrigsminister, Mevlut Cavusoglu, er mere <span style=""display:inline""><span class=""dre-glossary-match"">tilbageholdende</span></span>. Han siger, at Finland og Sverige endnu ikke har opfyldt Tyrkiets krav for fuldt medlemskab.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Sverige og Finland underskrev et forståelsespapir med Tyrkiet i juni, hvilket resulterede i, at <span style=""display:inline""><span class=""dre-glossary-match"">Nato</span></span>-medlemmet Tyrkiet <a href=""https://www.dr.dk/nyheder/seneste/sverige-og-finland-har-kurs-nato-efter-tyrkiet-har-droppet-sin-modstand-mod-de-lande"" rel=""noopener noreferrer"" target=""_blank"">ophævede et veto mod deres ansøgninger</a> om at blive medlem af den transatlantiske sikkerhedsalliance. Tyrkiet mener dog ikke, at Finland og Sverige har opfyldt deres del af aftalen tilstrækkeligt til at blive medlemmer endnu.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Sverige rykker dog tættere på fuldt medlemskab, sagde Mevlut Cavusoglu i dag.</p>]"
7,Mangeårig Barcelona-profil lægger støvlerne på hylden,"[<p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Den 35-årige Barcelona-spiller Gerard Pique spiller snart sin sidste professionelle fodboldkamp.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Torsdag aften har den mangeårige Barcelona-profil nemlig annonceret, at han lægger støvlerne på hylden, når den spanske storklub lørdag møder Almeria i den bedste spanske fodboldrække.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Det fortæller den spanske forsvarsspiller i en video på sin Instagram-profil.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">-Det er 25 år siden, jeg kom til Barca. Jeg tog væk, og jeg kom tilbage. Fodbold har givet mig alt. Barca har givet mig alt. I, Barcelona-fans, har givet mig alt.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">- Jeg har altid sagt, at der ikke vil være andre hold efter Barca. Og sådan bliver det. Kampen lørdag bliver min sidste på Camp Nou. Jeg vil blive en normal fan. Jeg vil give min kærlighed til Barca videre til mine børn, siger Pique blandt andet i <a href=""https://www.instagram.com/p/CkgeEf6jTq4/?hl=da"" rel=""noopener noreferrer"" target=""_blank"">videoen</a>.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Gerard Piques karriere startede og sluttede i Barcelona, og han var kun <span style=""display:inline""><span class=""dre-glossary-match"">kortvarigt</span></span> et smut forbi Manchester United som helt ung fra 2004 til 2008.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Her fik spanieren dog aldrig den store succes, men det gjorde han i dén grad efter sin tilbagevenden til Barcelona.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">615 optræderne for den spanske storklub er det blevet til, og ud over at have vundet det spanske mesterskab hele otte gange har Gerard Pique også været med til at triumfere i Champions League tre gange for klubben.</p>]"
8,Israels premierminister lykønsker Netanyahu med valgsejr,"[<p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Nok har de flestes øjne været på det danske valg den seneste tid, men i Israel var <span style=""display:inline""><span class=""dre-glossary-match"">borgerne</span></span> også ved <span style=""display:inline""><span class=""dre-glossary-match"">stemmeurnerne</span></span> den 1. november.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Nu ønsker Israels <span style=""display:inline""><span class=""dre-glossary-match"">premierminister</span></span>, Yair Lapid, landets tidligere mangeårige leder Benjamin Netanyahu tillykke med sejren ved valget, skriver Reuters.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">- <span style=""display:inline""><span class=""dre-glossary-match"">Premierminister</span></span> Lapid lykønsker <span style=""display:inline""><span class=""dre-glossary-match"">oppositionsleder</span></span> Netanyahu med hans sejr ved valget, og han har meddelt ham, at han giver instruktion til hele sit kontor om at forberede en velordnet overdragelse af magten, hedder det i en erklæring fra Lapids kontor ifølge Ritzau.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Det bekræfter, at <span style=""display:inline""><span class=""dre-glossary-match"">premierministeren</span></span> har tabt kampen.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Valget har givet Netanyahu og hans parti, Likud, mulighed for at samle et flertal til en ny <span style=""display:inline""><span class=""dre-glossary-match"">regering</span></span>, der vil blive meget højreorienteret.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Den nye <span style=""display:inline""><span class=""dre-glossary-match"">regering</span></span> vil nemlig basere sig på stemmer fra et parti, hvor lederen er dømt for racisme, og som blandt andet har truet med at fordrive de arabere, der bor i Israel, skriver Ritzau.</p>]"
9,"Radikales nye leder, Martin Lidegaard, har ikke talt med Mette Frederiksen endnu","[<p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Martin Lidegaard er ny leder for De Radikale, efter Sofie Carsten Nielsen gik af i går.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Det har han netop afsløret på et <span style=""display:inline""><span class=""dre-glossary-match"">pressemøde</span></span>.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Martin Lidegaard blev på <span style=""display:inline""><span class=""dre-glossary-match"">pressemødet</span></span> spurgt, om han har nået at tale med Mette Frederiksen og fortælle hende, at han er den nye nummer ét i partiet.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">- Nej, det har jeg simpelthen ikke nået. Jeg har sendt en SMS til <span style=""display:inline""><span class=""dre-glossary-match"">statsministeren</span></span> og sagt, at jeg glæder mig til samarbejdet, sagde han.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Martin Lidegaard fastslår ved <span style=""display:inline""><span class=""dre-glossary-match"">pressemødet</span></span>, at han og De Radikale fortsat vil arbejde for en bred <span style=""display:inline""><span class=""dre-glossary-match"">regering</span></span>.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Samira Nawa bliver partiets næstformand.</p>, <p class=""hydra-latest-news-page-short-news__paragraph dre-variables"">Læs mere i vores <a href=""https://www.dr.dk/nyheder/politik/folketingsvalg/live-foelg-folketingsvalget-2022"" rel=""noopener noreferrer"" target=""_blank"">liveblog</a>.</p>]"
